Car_ID,Component,Mileage,Car_Age,Part_Age,Temp_Exposure,Service_Count,Driving_Style,Failed_Next_30_Days
91,Brakes,20766,5.9,448,39.8,1,Conservative,No
92,Engine,120115,12.5,118,33.0,5,Conservative,Yes
93,Battery,195416,3.1,190,42.0,10,Moderate,Yes
94,Brakes,136745,7.5,855,41.9,4,Moderate,Yes
95,Engine,83119,13.3,259,42.5,9,Conservative,Yes
96,Battery,17523,7.9,342,25.5,3,Moderate,No
97,Battery,99217,4.9,620,41.0,4,Conservative,Yes
98,Engine,32442,4.4,426,34.7,3,Conservative,No
99,Brakes,138665,7.3,27,22.8,3,Moderate,No
100,Battery,184053,9.1,494,36.6,5,Moderate,Yes
101,Brakes,96714,5.9,474,28.1,4,Aggressive,Yes
102,Engine,92719,2.7,558,48.5,2,Aggressive,Yes
103,Battery,82482,11.1,788,35.7,4,Aggressive,Yes
104,Battery,69633,6.1,319,20.4,8,Aggressive,No
105,Engine,155059,5.1,976,23.8,7,Aggressive,Yes
106,Brakes,84537,7.6,461,30.2,0,Moderate,No
107,Battery,39907,12.5,420,34.8,9,Conservative,Yes
108,Engine,49111,12.4,981,29.1,3,Aggressive,Yes
109,Battery,168942,9.3,643,26.8,8,Moderate,Yes
110,Battery,87949,13.0,449,29.2,9,Aggressive,Yes
111,Brakes,36013,14.3,222,38.8,4,Conservative,Yes
112,Engine,55564,8.7,170,20.1,7,Conservative,No
113,Brakes,133184,5.1,247,28.6,4,Conservative,No
114,Engine,190193,4.3,280,43.6,10,Conservative,Yes
115,Engine,121447,2.6,240,39.4,4,Aggressive,Yes
116,Engine,90638,9.3,854,37.1,4,Moderate,Yes
117,Brakes,89715,10.8,975,28.2,8,Moderate,Yes
118,Brakes,20449,13.5,762,29.7,4,Aggressive,Yes
119,Brakes,160784,9.2,31,50.0,10,Moderate,Yes
120,Engine,133338,8.3,462,47.5,2,Conservative,Yes
121,Battery,33918,7.6,428,30.0,10,Aggressive,No
122,Battery,117910,10.7,305,39.9,6,Conservative,Yes
123,Engine,92448,4.5,128,49.1,6,Conservative,Yes
124,Engine,182401,13.2,483,32.4,3,Conservative,Yes
125,Battery,173947,7.2,62,26.1,8,Aggressive,Yes
126,Battery,193042,7.8,39,49.2,9,Aggressive,Yes
127,Battery,154399,1.2,427,22.8,1,Moderate,No
128,Brakes,50362,8.0,743,28.8,4,Moderate,Yes
129,Battery,73892,7.4,158,31.5,9,Conservative,No
130,Engine,28300,4.9,818,45.6,5,Conservative,Yes
131,Engine,84144,11.2,867,37.6,10,Moderate,Yes
132,Battery,151185,7.8,350,36.6,8,Moderate,Yes
133,Battery,59454,14.7,254,37.2,3,Moderate,Yes
134,Brakes,133987,10.9,840,31.4,10,Conservative,Yes
135,Battery,19704,2.8,998,37.7,1,Moderate,Yes
136,Battery,14023,11.1,429,46.1,2,Aggressive,Yes
137,Battery,98751,9.7,417,39.5,5,Conservative,Yes
138,Battery,93010,9.8,918,42.8,8,Aggressive,Yes
139,Engine,175455,10.6,304,49.9,1,Moderate,Yes
140,Brakes,194520,13.2,464,25.0,4,Aggressive,Yes
141,Engine,86904,6.0,451,24.4,8,Moderate,No
142,Engine,54560,3.5,634,46.1,9,Conservative,Yes
143,Brakes,47517,4.3,663,27.6,4,Conservative,Yes
144,Battery,85400,10.5,171,22.2,5,Conservative,Yes
145,Battery,190961,4.5,875,29.1,6,Moderate,Yes
146,Battery,159926,6.0,312,49.8,4,Aggressive,Yes
147,Brakes,113758,4.8,589,46.0,0,Conservative,Yes
148,Battery,70324,9.5,370,26.6,3,Conservative,Yes
149,Brakes,182800,10.5,150,38.8,10,Conservative,Yes
150,Battery,18746,9.1,759,23.9,4,Moderate,No
151,Engine,62637,2.9,562,46.3,5,Conservative,Yes
152,Battery,53134,4.6,854,48.3,4,Conservative,Yes
153,Engine,132770,14.5,154,42.6,3,Conservative,Yes
154,Battery,156096,6.1,819,31.8,4,Conservative,Yes
155,Battery,186377,11.5,278,37.5,10,Moderate,Yes
156,Engine,133594,1.4,915,48.3,5,Conservative,Yes
157,Engine,176567,12.5,941,41.0,10,Moderate,Yes
158,Engine,19754,5.3,514,23.5,3,Conservative,No
159,Engine,111881,7.4,696,48.5,8,Moderate,Yes
160,Brakes,50507,13.4,680,23.0,7,Conservative,Yes
161,Battery,18576,10.7,232,33.3,3,Moderate,Yes
162,Brakes,106294,8.6,670,30.8,6,Moderate,Yes
163,Engine,129201,2.3,227,39.3,9,Aggressive,Yes
164,Battery,73850,14.8,815,36.9,1,Conservative,Yes
165,Engine,71079,5.6,161,43.7,9,Aggressive,Yes
166,Engine,44076,8.6,827,25.2,10,Aggressive,Yes
167,Battery,72372,9.2,26,25.2,0,Aggressive,No
168,Brakes,39792,11.4,497,33.4,5,Conservative,Yes
169,Battery,142078,4.1,639,21.3,10,Conservative,Yes
170,Brakes,18165,1.9,500,45.4,6,Conservative,Yes
171,Brakes,126277,2.0,92,29.7,2,Aggressive,Yes
172,Brakes,175957,9.2,739,29.8,9,Conservative,Yes
173,Brakes,168709,7.0,822,41.1,10,Conservative,Yes
174,Brakes,198963,13.1,450,33.5,3,Moderate,Yes
175,Battery,114524,6.8,107,29.4,5,Conservative,Yes
176,Engine,190046,13.9,78,22.7,1,Aggressive,Yes
177,Brakes,107687,12.4,579,21.8,8,Conservative,Yes
178,Engine,117691,6.0,691,48.2,6,Conservative,Yes
179,Battery,167393,5.4,116,37.3,3,Aggressive,Yes
180,Engine,38368,5.9,579,31.0,4,Conservative,Yes
181,Battery,157053,14.6,848,38.7,10,Conservative,Yes
182,Brakes,182446,12.6,283,20.9,4,Conservative,Yes
183,Battery,102018,1.1,900,24.3,10,Moderate,Yes
184,Brakes,175982,14.6,103,42.4,3,Moderate,Yes
185,Battery,51263,6.2,748,29.7,9,Conservative,Yes
186,Engine,50784,3.2,642,21.5,1,Moderate,No
187,Battery,183523,6.9,631,33.3,4,Aggressive,Yes
188,Engine,100484,7.0,300,40.3,9,Moderate,Yes
189,Battery,21905,4.1,623,21.6,3,Moderate,No
190,Engine,45975,11.7,306,29.8,0,Moderate,Yes
191,Engine,43865,6.3,730,26.9,8,Conservative,No
192,Engine,114089,13.1,53,33.1,7,Aggressive,Yes
193,Brakes,122534,9.0,736,39.2,4,Aggressive,Yes
194,Battery,55055,12.2,642,33.8,5,Aggressive,Yes
195,Engine,73783,7.1,420,35.7,6,Moderate,Yes
196,Engine,97311,11.9,88,35.3,1,Conservative,Yes
197,Battery,102038,11.2,848,39.4,2,Aggressive,Yes
198,Battery,61713,3.4,166,42.8,10,Aggressive,Yes
199,Brakes,139529,7.5,587,42.8,7,Conservative,Yes
200,Brakes,178556,9.9,649,29.7,10,Moderate,Yes
201,Engine,132924,7.2,320,43.9,9,Aggressive,Yes
202,Engine,91371,7.5,48,21.7,4,Aggressive,No
203,Engine,171220,9.3,403,33.9,8,Conservative,Yes
204,Battery,159856,10.1,339,38.2,8,Aggressive,Yes
205,Battery,37132,12.4,867,30.3,1,Conservative,Yes
206,Engine,74944,10.9,459,35.7,9,Aggressive,Yes
207,Battery,111558,6.7,356,40.4,0,Conservative,Yes
208,Engine,96426,2.3,704,31.6,4,Conservative,No
209,Brakes,49419,5.7,606,39.9,5,Moderate,Yes
210,Brakes,183574,6.5,619,41.3,1,Moderate,Yes
211,Brakes,96108,12.4,696,41.1,10,Conservative,Yes
212,Brakes,120993,8.1,28,30.9,2,Aggressive,Yes
213,Battery,60333,4.2,150,24.6,4,Aggressive,No
214,Brakes,151497,12.7,914,35.8,10,Moderate,Yes
215,Brakes,44353,9.4,167,24.9,9,Aggressive,No
216,Engine,117704,6.1,746,27.1,7,Conservative,Yes
217,Brakes,127683,4.3,254,29.3,7,Aggressive,Yes
218,Brakes,125499,7.5,298,43.3,8,Conservative,Yes
219,Engine,62349,12.2,151,46.2,0,Conservative,Yes
220,Battery,155369,14.1,738,45.4,1,Moderate,Yes
221,Engine,81510,7.3,535,24.4,6,Aggressive,No
222,Engine,128260,13.4,962,20.8,0,Moderate,Yes
223,Engine,111231,14.9,393,26.7,5,Aggressive,Yes
224,Brakes,97894,12.1,150,21.1,7,Conservative,No
225,Brakes,132974,7.3,15,47.2,0,Moderate,Yes
226,Engine,153865,14.2,633,35.8,1,Moderate,Yes
227,Engine,22517,4.3,664,43.8,7,Aggressive,Yes
228,Battery,166431,8.5,657,35.5,3,Conservative,Yes
229,Battery,10410,9.6,256,37.1,2,Conservative,No
230,Brakes,104530,1.9,548,36.3,8,Conservative,Yes
231,Battery,21412,9.9,392,27.6,0,Moderate,No
232,Battery,73209,11.3,653,23.1,9,Conservative,Yes
233,Engine,21622,5.9,356,44.4,2,Conservative,Yes
234,Brakes,135444,9.8,840,24.0,7,Aggressive,Yes
235,Engine,62289,13.4,333,48.0,8,Moderate,Yes
236,Brakes,134098,4.5,781,39.4,4,Moderate,Yes
237,Engine,181896,5.6,137,44.0,6,Moderate,Yes
238,Battery,98876,14.6,518,40.8,5,Conservative,Yes
239,Engine,121280,2.1,626,49.9,2,Conservative,Yes
240,Engine,30989,5.6,312,29.2,9,Conservative,No
241,Battery,53684,10.7,369,33.4,5,Conservative,No
242,Battery,177633,14.7,980,21.7,10,Conservative,Yes
243,Brakes,188103,3.2,41,24.3,9,Conservative,No
244,Engine,43090,1.9,807,39.4,5,Moderate,No
245,Engine,168621,3.1,470,48.5,5,Moderate,Yes
246,Brakes,46095,8.4,417,29.4,4,Aggressive,No
247,Engine,58771,8.0,406,47.4,1,Moderate,Yes
248,Brakes,126987,4.0,636,28.6,7,Aggressive,Yes
249,Engine,128500,3.4,740,33.4,1,Conservative,Yes
250,Battery,185070,5.9,76,36.5,4,Moderate,Yes
251,Brakes,196007,14.0,663,25.2,5,Conservative,Yes
252,Engine,46405,4.3,515,20.8,8,Conservative,No
253,Battery,132527,12.3,574,23.9,1,Aggressive,Yes
254,Brakes,198447,7.7,430,43.1,9,Aggressive,Yes
255,Battery,178385,2.0,487,40.4,5,Aggressive,Yes
256,Brakes,177718,9.2,796,49.0,6,Conservative,Yes
257,Engine,42548,8.3,321,24.9,5,Conservative,No
258,Brakes,84461,12.8,266,25.9,8,Moderate,Yes
259,Battery,171068,8.5,524,39.2,9,Conservative,Yes
260,Brakes,173703,11.1,629,30.1,9,Aggressive,Yes
261,Engine,31292,1.6,666,43.1,4,Conservative,Yes
262,Brakes,119205,9.7,41,34.9,10,Conservative,Yes
263,Battery,136601,4.4,836,40.5,4,Moderate,Yes
264,Engine,51439,7.2,505,33.9,5,Conservative,Yes
265,Brakes,93706,11.3,891,30.4,6,Aggressive,Yes
266,Brakes,157233,2.5,257,34.0,4,Moderate,Yes
267,Engine,23265,5.1,403,45.9,6,Aggressive,Yes
268,Engine,95835,14.1,748,29.4,2,Moderate,Yes
269,Battery,140746,13.3,519,20.7,6,Conservative,Yes
270,Engine,66398,9.2,59,21.5,7,Conservative,No
271,Brakes,186297,7.6,559,20.2,1,Moderate,Yes
272,Battery,105886,11.7,384,21.4,0,Conservative,Yes
273,Battery,155024,5.0,405,35.1,8,Moderate,Yes
274,Brakes,188362,9.6,141,49.3,6,Moderate,Yes
275,Battery,156232,14.1,783,24.3,9,Conservative,Yes
276,Engine,21876,1.5,740,30.0,7,Conservative,No
277,Battery,49043,9.5,537,24.2,9,Moderate,Yes
278,Brakes,88442,9.3,529,44.8,8,Moderate,Yes
279,Battery,134490,12.4,387,29.9,1,Moderate,Yes
280,Brakes,190366,9.8,621,34.2,10,Conservative,Yes
281,Brakes,23462,9.2,184,35.7,9,Moderate,Yes
282,Brakes,73490,1.4,980,41.0,3,Aggressive,Yes
283,Battery,49696,6.8,218,32.3,9,Moderate,No
284,Brakes,26326,10.9,541,26.2,5,Conservative,No
285,Battery,92248,14.4,480,47.4,5,Conservative,Yes
286,Brakes,188453,10.0,719,27.9,7,Aggressive,Yes
287,Battery,156299,5.2,974,49.2,4,Moderate,Yes
288,Brakes,194808,7.8,501,30.5,4,Moderate,Yes
289,Brakes,152394,6.3,414,44.6,2,Moderate,Yes
290,Brakes,30717,5.8,462,39.7,7,Aggressive,Yes
291,Brakes,81075,14.1,722,28.1,1,Conservative,Yes
292,Engine,73558,1.7,936,35.9,10,Aggressive,Yes
293,Battery,96584,11.0,112,40.4,2,Aggressive,Yes
294,Engine,116668,10.1,911,46.4,7,Conservative,Yes
295,Battery,94192,5.0,70,47.2,1,Conservative,Yes
296,Brakes,199560,12.9,48,47.4,2,Moderate,Yes
297,Engine,19526,15.0,416,43.6,2,Conservative,Yes
298,Battery,19821,1.1,591,38.1,5,Moderate,No
299,Brakes,152422,8.3,920,48.2,8,Moderate,Yes
300,Engine,96686,3.3,479,39.4,2,Aggressive,Yes
301,Battery,158840,10.4,207,25.3,10,Moderate,Yes
302,Brakes,95964,2.2,695,22.9,2,Moderate,Yes
303,Engine,11790,4.7,251,33.4,4,Moderate,No
304,Battery,162688,11.1,21,27.8,5,Conservative,Yes
305,Brakes,40991,7.5,173,32.2,8,Conservative,No
306,Brakes,40779,9.9,973,28.9,9,Aggressive,Yes
307,Engine,135352,3.1,775,49.7,5,Moderate,Yes
308,Battery,150907,12.2,855,26.6,3,Conservative,Yes
309,Engine,147758,7.3,730,30.9,9,Aggressive,Yes
310,Brakes,142510,3.8,559,24.5,5,Conservative,Yes
311,Brakes,63844,11.0,510,22.7,8,Moderate,No
312,Battery,44588,8.2,477,36.9,8,Moderate,Yes
313,Battery,199603,1.3,270,44.5,3,Conservative,Yes
314,Battery,100316,10.8,564,49.8,1,Moderate,Yes
315,Battery,57181,11.8,794,39.2,10,Moderate,Yes
316,Battery,127581,13.2,938,31.3,1,Conservative,Yes
317,Brakes,44862,10.1,366,23.6,8,Moderate,No
318,Brakes,68376,12.7,784,20.7,4,Moderate,Yes
319,Brakes,121182,8.4,853,26.9,7,Moderate,Yes
320,Engine,39581,1.5,686,32.6,0,Aggressive,Yes
321,Engine,165698,1.5,622,40.2,0,Aggressive,Yes
322,Battery,125071,4.3,232,42.6,0,Aggressive,Yes
323,Battery,71384,12.4,759,37.3,9,Conservative,Yes
324,Battery,72102,5.2,156,49.6,8,Aggressive,Yes
325,Battery,25979,8.8,615,46.4,2,Conservative,Yes
326,Brakes,139924,1.7,362,48.2,10,Moderate,Yes
327,Battery,192533,6.8,162,29.0,2,Conservative,Yes
328,Engine,88836,13.0,157,44.2,0,Conservative,Yes
329,Battery,156089,8.4,407,27.3,3,Moderate,Yes
330,Battery,107275,2.3,751,44.9,0,Moderate,Yes
331,Brakes,168052,1.6,84,25.6,9,Conservative,No
332,Engine,135670,3.9,938,30.0,0,Aggressive,Yes
333,Brakes,40753,11.5,782,34.4,3,Conservative,Yes
334,Engine,113974,13.8,575,29.6,4,Moderate,Yes
335,Brakes,104177,5.3,378,35.4,7,Moderate,Yes
336,Brakes,133074,11.7,337,47.4,5,Moderate,Yes
337,Brakes,68005,11.4,26,27.8,9,Conservative,No
338,Battery,49953,3.7,245,31.4,3,Moderate,No
339,Brakes,98490,4.6,851,34.7,10,Conservative,Yes
340,Engine,102320,3.4,747,36.4,2,Conservative,Yes
341,Engine,147348,1.5,877,22.2,10,Aggressive,Yes
342,Battery,46042,12.8,246,22.0,2,Aggressive,Yes
343,Battery,107832,1.8,663,40.0,9,Moderate,Yes
344,Engine,11733,8.5,431,20.4,8,Conservative,No
345,Battery,150440,14.7,27,35.1,10,Moderate,Yes
346,Engine,38053,13.9,546,24.5,3,Conservative,Yes
347,Battery,80077,12.1,90,31.2,6,Moderate,Yes
348,Brakes,69207,5.2,857,45.4,10,Conservative,Yes
349,Engine,116241,6.3,575,34.3,10,Aggressive,Yes
350,Engine,141034,12.8,670,43.5,9,Aggressive,Yes
351,Engine,70231,4.0,898,40.8,9,Moderate,Yes
352,Engine,189418,14.0,930,36.3,10,Aggressive,Yes
353,Battery,14104,14.5,611,24.3,6,Aggressive,Yes
354,Brakes,73038,8.9,879,31.7,8,Moderate,Yes
355,Brakes,46687,12.1,715,41.7,8,Conservative,Yes
356,Engine,35607,7.1,868,22.3,9,Conservative,No
357,Battery,95557,1.4,289,43.5,7,Moderate,Yes
358,Brakes,108415,7.0,706,37.6,6,Aggressive,Yes
359,Battery,74605,11.0,94,28.0,6,Conservative,No
360,Engine,112137,5.4,119,22.7,4,Moderate,No
361,Battery,36799,2.9,201,32.9,8,Conservative,No
362,Brakes,116966,2.4,101,30.6,1,Conservative,No
363,Battery,110987,1.2,433,31.6,1,Conservative,No
364,Engine,159935,8.3,711,31.4,2,Moderate,Yes
365,Battery,48255,1.9,455,28.3,4,Moderate,No
366,Engine,104666,4.5,262,41.6,7,Conservative,Yes
367,Battery,38042,2.9,16,48.5,5,Conservative,No
368,Battery,125401,5.7,845,44.7,10,Conservative,Yes
369,Battery,168128,14.3,215,34.4,2,Moderate,Yes
370,Battery,192179,9.9,1000,37.3,3,Moderate,Yes
371,Battery,105686,2.6,587,26.0,8,Aggressive,Yes
372,Brakes,17055,14.3,482,48.3,3,Moderate,Yes
373,Brakes,28129,12.5,824,43.9,10,Moderate,Yes
374,Battery,73444,4.5,167,41.5,6,Aggressive,Yes
375,Brakes,135628,9.2,557,35.2,6,Conservative,Yes
376,Battery,193929,13.5,559,37.8,1,Aggressive,Yes
377,Brakes,184245,6.0,672,38.4,9,Conservative,Yes
378,Battery,96926,14.5,450,23.2,1,Moderate,Yes
379,Brakes,145999,8.8,714,37.3,7,Moderate,Yes
380,Brakes,164295,10.7,164,30.3,0,Moderate,Yes
381,Battery,32506,2.6,973,41.9,5,Moderate,Yes
382,Engine,146607,7.8,497,22.9,7,Moderate,Yes
383,Engine,196326,2.6,879,30.3,1,Conservative,Yes
384,Brakes,73940,8.2,575,24.8,8,Moderate,No
385,Engine,116180,9.8,200,39.2,6,Moderate,Yes
386,Brakes,61727,7.3,449,31.7,3,Aggressive,Yes
387,Brakes,26400,9.1,828,46.2,2,Moderate,Yes
388,Battery,39872,4.7,893,34.7,10,Moderate,Yes
389,Brakes,112903,9.2,366,30.6,7,Conservative,Yes
390,Brakes,195070,12.2,950,38.4,1,Conservative,Yes
391,Engine,72540,5.3,197,31.2,2,Conservative,No
392,Brakes,46141,9.0,443,25.6,10,Conservative,No
393,Brakes,55412,8.8,511,28.7,2,Moderate,No
394,Brakes,24053,13.1,984,20.3,2,Aggressive,Yes
395,Brakes,142497,10.1,428,40.5,6,Conservative,Yes
396,Battery,53844,2.2,41,43.9,3,Moderate,Yes
397,Engine,150930,5.0,809,33.7,7,Conservative,Yes
398,Brakes,39938,4.8,566,44.7,5,Conservative,Yes
399,Engine,198476,7.2,233,49.7,1,Conservative,Yes
400,Engine,88042,13.2,43,33.5,5,Aggressive,Yes
401,Engine,72113,3.9,765,37.6,5,Conservative,Yes
402,Battery,53511,9.6,813,26.2,3,Aggressive,Yes
403,Brakes,83684,9.4,182,29.7,4,Moderate,Yes
404,Brakes,188074,12.4,148,48.9,6,Aggressive,Yes
405,Brakes,43262,10.8,145,27.5,5,Aggressive,No
406,Brakes,112944,7.9,601,39.0,10,Moderate,Yes
407,Engine,176101,12.1,797,22.8,8,Conservative,Yes
408,Battery,129195,14.3,345,37.5,1,Conservative,Yes
409,Brakes,184101,10.8,880,21.9,8,Moderate,Yes
410,Battery,65535,7.9,340,44.9,5,Conservative,Yes
411,Brakes,137228,12.0,925,40.5,0,Aggressive,Yes
412,Battery,14268,2.7,888,24.7,7,Aggressive,No
413,Battery,63036,14.9,941,24.0,10,Moderate,Yes
414,Battery,34468,10.2,266,22.5,10,Conservative,No
415,Battery,173998,5.3,726,42.7,6,Conservative,Yes
416,Engine,10284,4.0,89,24.0,3,Conservative,No
417,Brakes,126671,1.1,722,30.3,1,Moderate,Yes
418,Battery,28567,4.2,101,41.9,1,Aggressive,Yes
419,Battery,45947,6.4,842,42.6,2,Conservative,Yes
420,Engine,27933,8.4,18,38.3,2,Moderate,Yes
421,Engine,174647,11.5,951,32.4,10,Moderate,Yes
422,Engine,36336,3.0,136,37.7,6,Moderate,No
423,Battery,46655,4.5,670,22.5,8,Conservative,No
424,Brakes,199052,9.5,807,48.2,0,Conservative,Yes
425,Engine,145724,9.5,203,42.4,4,Conservative,Yes
426,Engine,139731,6.4,256,35.0,9,Aggressive,Yes
427,Engine,104659,14.1,145,31.6,9,Moderate,Yes
428,Brakes,55290,11.7,987,49.6,1,Aggressive,Yes
429,Engine,78730,4.0,954,21.8,6,Conservative,Yes
430,Brakes,141346,11.7,443,41.1,1,Conservative,Yes
431,Brakes,50024,4.9,327,22.4,3,Aggressive,No
432,Brakes,95655,6.5,659,42.9,10,Conservative,Yes
433,Battery,193153,7.1,986,45.4,0,Aggressive,Yes
434,Battery,40405,7.3,633,21.7,10,Conservative,No
435,Engine,41311,1.2,150,41.0,2,Moderate,No
436,Brakes,145586,12.0,748,27.8,5,Aggressive,Yes
437,Battery,40947,11.8,40,30.1,6,Moderate,No
438,Battery,196731,14.7,652,22.3,7,Conservative,Yes
439,Battery,158605,3.3,171,27.7,1,Conservative,Yes
440,Engine,69874,11.4,12,21.3,0,Aggressive,Yes
441,Battery,110395,13.9,193,47.9,0,Conservative,Yes
442,Brakes,181888,6.9,339,27.4,5,Moderate,Yes
443,Brakes,107729,2.7,699,47.1,2,Aggressive,Yes
444,Engine,115100,2.0,486,46.0,4,Moderate,Yes
445,Battery,12089,6.2,308,36.9,4,Conservative,No
446,Battery,106540,9.3,515,49.9,3,Conservative,Yes
447,Engine,49470,1.1,429,20.7,8,Moderate,No
448,Brakes,191786,13.3,983,30.1,10,Moderate,Yes
449,Brakes,90612,2.5,552,49.5,6,Moderate,Yes
450,Engine,196555,4.9,54,47.6,8,Moderate,Yes
451,Battery,130182,14.6,96,37.4,8,Aggressive,Yes
452,Battery,29616,9.3,73,33.0,2,Aggressive,Yes
453,Battery,113010,10.8,763,29.8,7,Moderate,Yes
454,Engine,45680,11.9,608,23.3,1,Aggressive,Yes
455,Battery,116564,2.7,376,48.9,3,Moderate,Yes
456,Battery,41434,2.3,836,40.6,9,Aggressive,Yes
457,Battery,48882,2.3,264,49.1,6,Conservative,Yes
458,Battery,78201,12.5,188,20.9,6,Moderate,Yes
